SeqID	ctrl_r1	ctrl_r2	0hpa_r1	0hpa_r2	6hpa_r1	24hpa_r1	24hpa_r2	72hpa_r1	72hpa_r2
gpr157|rna12244|gene3742|Level=1	32.739	51.399	47.013	41.334	42.184	47.389	46.273	42.331	20.851
gpr160|rna10800|gene3296|Level=1	33.595	38.079	40.599	38.071	48.789	51.754	48.481	40.469	35.584
gpr161|rna7343|gene2229|Level=1	12.050	8.133	7.423	6.544	10.952	11.674	14.759	10.431	8.629
gpr162|rna44671|gene21928|Level=1	1.753	1.458	2.168	1.550	2.326	1.000	1.453	0.877	0.763
gpr171|rna10618|gene3237|Level=1	0.230	0.152	0.812	0.089	0.384	0.426	0.426	0.622	0.850
gpr173|rna14512|gene4455|Level=1	0.922	0.631	0.670	0.509	0.630	0.395	0.379	0.460	0.723
gpr174|rna38796|gene18192|Level=1	0.030	0.000	0.000	0.360	0.228	0.180	0.180	0.675	0.076
gpr176|rna24420|gene7584|Level=1	0.780	0.503	0.770	0.220	0.525	0.240	0.144	0.207	0.324
gpr179|rna60190|gene31706|Level=1	1.919	2.139	2.143	0.278	2.164	3.726	0.471	0.138	0.064
gpr17|rna45477|gene22453|Level=1	1.772	1.134	1.188	1.154	1.088	1.401	1.279	1.660	1.325
gpr180|rna51505|gene26207|Level=1	5.548	3.322	3.499	3.130	4.249	5.420	5.923	3.502	3.565
gpr182|rna46460|gene23082|Level=1	3.518	1.459	2.704	2.853	2.296	1.751	2.425	1.374	1.285
gpr183.1|rna45612|gene22560|Level=1	0.096	0.000	0.108	0.201	0.213	0.234	0.381	1.000	0.198
gpr183.2|rna57440|gene29939|Level=1	0.224	0.243	0.267	0.353	1.251	0.371	0.618	1.424	0.574
gpr185a|rna19414|gene6016|Level=1	0.101	0.366	0.300	0.191	0.195	0.115	0.205	0.159	0.152
gpr18|rna21102|gene6533|Level=1	0.383	0.572	0.509	0.476	0.657	0.463	0.566	0.924	0.362
gpr19|rna47307|gene23643|Level=1	35.404	57.906	78.054	70.904	95.622	61.471	183.048	243.627	223.362
gpr1|rna50218|gene25370|Level=1	2.054	3.855	2.394	2.906	4.504	3.718	6.099	6.343	4.361
gpr20|rna1418|gene458|Level=1	0.149	0.127	0.240	0.074	0.136	0.162	0.292	0.134	0.055
gpr21|rna42586|gene20645|Level=1	0.151	0.463	0.198	0.145	0.483	0.161	0.299	0.250	0.291
gpr22l|rna63275|gene33582|Level=1	2.045	3.330	1.139	2.226	0.936	0.766	1.337	1.745	0.979
gpr22|rna57011|gene29654|Level=1	0.501	0.923	0.579	0.174	0.399	0.166	0.360	0.329	0.280
gpr26|rna56216|gene29171|Level=1	0.135	0.081	0.126	0.235	0.450	0.061	0.123	2.166	0.173
gpr34|rna24018|gene7447|Level=1	0.965	0.401	0.457	0.531	0.514	2.078	1.857	3.363	2.382
gpr34|rna50830|gene25776|Level=2	6.540	2.684	1.083	0.949	0.236	0.342	0.708	0.948	0.659
gpr35|rna11532|gene3512|Level=2	0.260	0.212	0.531	0.657	2.821	0.646	0.862	3.161	1.456
gpr35|rna25960|gene8037|Level=1	1.092	1.018	1.011	1.563	1.901	1.898	2.438	2.932	3.810
gpr35|rna42021|gene20297|Level=2	0.000	0.152	0.000	0.087	0.875	0.081	0.237	0.760	1.089
gpr37l1|rna16125|gene4957|Level=1	0.396	0.151	0.344	0.304	0.258	0.168	0.168	0.651	0.448
gpr37|rna35782|gene16249|Level=1	8.223	7.858	7.903	8.713	5.130	3.539	6.817	11.455	3.675
gpr45|rna25302|gene7845|Level=1	1.176	0.794	0.916	0.909	1.227	1.381	1.865	1.323	1.453
gpr52|rna49304|gene24782|Level=1	0.688	0.999	0.847	0.346	1.252	0.660	0.523	0.626	0.743
gpr61|rna48842|gene24544|Level=2	0.102	0.239	0.764	0.507	0.093	0.221	0.000	0.000	0.000
gpr61|rna63245|gene33564|Level=1	0.223	0.237	0.258	0.175	0.197	0.040	0.113	0.088	0.095
gpr63|rna37174|gene17174|Level=1	0.344	0.133	0.083	0.129	0.124	0.160	0.113	0.059	0.076
gpr64|rna29233|gene10138|Level=1	6.164	11.583	11.471	6.745	15.249	12.874	20.683	42.834	12.610
gpr65|rna20120|gene6228|Level=1	1.445	1.499	3.451	1.892	5.564	4.739	4.202	7.066	8.435
gpr68|rna43758|gene21393|Level=1	0.899	1.692	0.427	0.351	0.318	0.315	0.302	0.485	0.664
gpr75|rna24034|gene7454|Level=1	2.299	2.328	1.599	1.429	1.631	2.274	3.510	3.425	2.596
gpr78|rna6576|gene2004|Level=1	1.884	3.057	2.545	2.873	3.283	3.200	3.530	3.167	2.177
gpr82|rna57006|gene29649|Level=1	0.231	0.251	0.079	0.201	0.158	0.303	0.303	0.405	0.135
gpr83|rna16289|gene5002|Level=1	1.897	2.022	1.633	2.088	2.165	1.454	2.458	4.369	1.272
gpr83|rna38633|gene18094|Level=2	0.251	0.359	0.234	0.241	0.321	0.206	0.434	0.382	0.187
gpr84|rna14187|gene4357|Level=1	1.071	1.517	7.166	3.250	9.378	1.908	2.482	3.769	11.405
gpr85|rna7950|gene2399|Level=1	0.886	0.698	0.541	0.381	0.992	0.302	0.303	0.110	0.204
gpr87|rna10820|gene3305|Level=1	1.137	0.866	0.498	1.471	0.323	2.314	2.831	2.568	0.807
gpr88|rna48749|gene24488|Level=1	0.129	0.639	0.214	0.074	0.091	0.022	0.022	0.045	0.000
gpr89b|rna15813|gene4853|Level=1	14.659	13.645	10.706	11.325	13.491	14.813	15.146	14.197	12.677
gprc5a|rna3288|gene1028|Level=1	0.790	1.028	0.741	0.606	0.793	0.919	0.971	0.870	0.459
gprc5b|rna18679|gene5770|Level=1	2.309	1.054	1.091	1.246	1.247	0.655	0.771	0.700	1.052
gprc5cl1|rna13809|gene4228|Level=1	23.289	47.433	50.540	67.317	34.486	24.603	25.504	44.286	45.607
gprc5cl2|rna4254|gene1327|Level=1	3.012	4.784	1.021	1.023	1.845	2.651	5.008	2.763	2.127
gprc6a|rna43158|gene21019|Level=2	0.178	0.346	0.338	0.212	0.276	0.309	0.260	0.707	0.000
gprc6a|rna47223|gene23590|Level=2	0.218	0.370	0.607	0.662	0.306	0.525	0.386	0.669	0.000
gprc6a|rna47674|gene23850|Level=1	0.594	0.657	1.022	1.188	0.369	0.785	0.364	1.215	0.025
gprc6a|rna50046|gene25281|Level=2	0.207	0.406	0.446	0.436	0.305	0.199	0.088	0.713	0.000
gprc6a|rna60105|gene31655|Level=2	0.459	0.365	0.550	0.404	0.360	0.625	0.319	1.195	0.000
gprin2|rna57662|gene30084|Level=1	0.261	0.243	0.183	0.283	0.174	0.099	0.198	0.154	0.000
gps1|rna4876|gene1499|Level=1	46.073	41.281	40.597	36.438	41.434	49.081	53.970	49.057	40.109
gps2|rna60730|gene32050|Level=1	43.273	46.749	29.087	35.618	33.988	43.069	38.715	43.259	37.303
gpsm1|rna43819|gene21431|Level=1	7.385	5.507	5.562	3.491	4.950	5.407	6.193	7.387	5.548
gpsm2|rna5973|gene1827|Level=1	15.972	14.986	13.594	14.824	17.038	15.893	14.817	19.662	10.624
gpsm3|rna53376|gene27402|Level=1	0.778	1.063	0.894	1.568	2.030	1.321	2.435	3.405	2.667
gpt2|rna5097|gene1560|Level=1	14.188	16.267	25.309	21.520	18.921	11.265	16.136	18.863	20.518
gpt|rna13860|gene4249|Level=1	4.677	7.868	13.124	16.283	12.255	10.321	10.932	17.957	19.646
gpx1|rna7866|gene2376|Level=1	93.490	110.704	103.559	180.648	158.474	149.168	156.155	228.746	481.307
gpx2|rna48306|gene24243|Level=1	0.175	0.392	0.109	0.051	1.357	4.435	0.977	15.456	14.233
gpx3|rna34935|gene15755|Level=1	84.800	97.713	93.796	111.099	113.364	77.779	47.751	53.502	72.442
gpx4|rna58109|gene30342|Level=1	89.965	90.221	87.004	137.930	128.492	130.169	162.859	153.990	135.171
gpx7|rna7327|gene2223|Level=1	60.334	53.659	57.382	40.644	52.968	40.765	47.127	45.494	28.239
gpx8|rna13039|gene3987|Level=1	32.056	32.019	36.265	26.399	26.249	26.716	32.749	39.095	25.305
gramd1a|rna63839|gene33890|Level=1	4.690	4.054	3.828	3.580	5.287	2.908	4.871	5.895	5.307
gramd1b|rna60695|gene32029|Level=1	1.331	2.125	1.028	1.551	2.487	2.125	2.805	4.840	0.947
gramd1c|rna39496|gene18687|Level=1	32.845	42.254	41.919	31.130	36.681	34.461	26.825	19.711	15.479
gramd2a|rna61643|gene32593|Level=1	11.926	20.333	18.369	11.968	15.717	12.919	15.237	13.310	8.331
gramd2b|rna62129|gene32865|Level=1	21.958	55.908	31.222	23.726	22.841	23.105	52.163	32.934	111.854
gramd4|rna13722|gene4199|Level=1	7.223	8.770	9.525	6.462	8.506	9.284	13.385	11.304	10.321
grap2|rna3338|gene1040|Level=1	0.946	0.783	0.246	1.095	0.606	2.153	2.115	4.110	3.772
grap|rna12764|gene3917|Level=1	6.090	2.822	2.048	4.005	4.188	6.105	8.941	9.624	8.644
grb10|rna57634|gene30064|Level=1	4.060	4.614	5.151	5.723	10.976	8.956	8.190	11.746	7.126
grb14|rna3958|gene1237|Level=1	1.464	2.399	1.746	1.872	1.199	1.563	1.149	0.354	0.578
grb2|rna44303|gene21691|Level=1	48.230	44.982	38.758	39.072	48.136	48.765	49.454	51.973	49.069
grb7|rna23177|gene7181|Level=1	16.635	17.779	9.769	14.541	20.415	19.176	19.155	22.042	12.628
greb1l|rna49999|gene25253|Level=1	3.505	1.704	2.443	1.517	1.128	0.842	0.481	1.277	0.349
greb1|rna43395|gene21152|Level=1	4.342	1.385	1.416	0.864	0.626	1.172	1.465	1.836	1.176
grem1|rna2109|gene668|Level=1	27.109	12.948	15.358	17.985	18.160	14.875	24.411	20.083	26.694
grhl1|rna20395|gene6313|Level=1	71.513	106.070	111.314	96.325	94.537	87.592	114.930	90.884	47.110
grhl2|rna7221|gene2189|Level=1	10.912	10.597	10.454	10.841	10.947	12.656	13.691	19.755	10.764
grhl3|rna17511|gene5401|Level=1	123.937	112.973	60.856	80.034	132.895	91.948	131.555	96.278	70.720
grhpr.1|rna21019|gene6503|Level=1	34.832	41.387	43.764	34.614	33.552	31.658	26.579	29.398	32.956
gria1|rna60642|gene32000|Level=1	0.773	0.488	0.391	0.127	0.296	0.454	0.309	0.550	0.521
gria2|rna59208|gene31053|Level=1	0.555	0.653	0.893	0.947	1.385	0.325	0.503	0.061	0.075
gria3|rna58862|gene30825|Level=1	0.987	0.892	0.988	0.492	0.464	0.643	0.431	0.449	0.259
gria4|rna30495|gene11377|Level=1	2.229	1.723	2.240	1.004	2.262	1.943	0.941	1.201	0.741
gria4|rna30545|gene11427|Level=1	1.466	0.929	0.549	0.764	1.237	0.557	0.446	0.288	0.188
gria4|rna48910|gene24591|Level=1	1.367	0.842	0.677	0.510	0.981	0.583	0.429	0.355	0.145
grid2ip|rna18445|gene5690|Level=1	1.115	0.586	0.133	0.381	0.375	0.352	0.265	0.466	0.397
grik2|rna6462|gene1968|Level=1	1.081	0.775	1.537	0.974	1.135	0.359	0.341	0.659	0.318
grik3|rna47939|gene24010|Level=1	0.141	0.226	0.304	0.282	0.264	0.230	0.181	0.221	0.167
grik4|rna44041|gene21530|Level=1	1.652	1.406	0.531	0.603	0.306	0.118	0.108	0.357	0.109
grik5-like.1|rna20188|gene6253|Level=1	4.815	4.704	12.783	8.428	12.506	5.593	2.073	4.793	3.593
grik5|rna43747|gene21384|Level=1	1.772	1.001	1.513	0.804	0.766	0.336	0.248	0.297	0.301
grin1|rna40895|gene19608|Level=1	0.425	0.532	0.796	0.522	0.972	0.190	0.228	0.241	0.273
grin2a|rna39076|gene18369|Level=1	0.087	0.097	0.275	0.255	0.220	0.140	0.140	0.132	0.125
grin2c|rna16880|gene5191|Level=1	0.106	0.159	0.212	0.160	0.258	0.129	0.119	0.106	0.055
grin3b|rna53651|gene27565|Level=1	0.286	0.273	0.253	0.055	0.247	0.072	0.048	0.056	0.204
grina|rna37448|gene17355|Level=1	0.384	0.234	0.294	0.789	0.467	0.186	0.398	0.384	1.120
grip1|rna62484|gene33080|Level=1	12.970	19.101	16.390	16.851	9.402	13.488	19.016	24.088	15.023
grip2|rna44175|gene21622|Level=1	0.781	0.614	0.524	0.559	0.686	0.665	0.810	1.125	0.758
gripap1|rna49609|gene24983|Level=1	19.622	22.456	15.773	16.262	17.479	16.643	18.141	22.483	14.007
gripap1|rna51625|gene26298|Level=1	19.797	20.499	15.895	17.519	18.998	19.089	20.889	23.276	16.243
grk3|rna62455|gene33056|Level=1	3.155	3.736	3.061	2.611	3.472	2.884	3.875	4.191	2.796
grk4|rna64181|gene34114|Level=1	19.341	30.188	27.597	35.159	17.942	19.832	23.077	33.586	22.765
grk5l|rna14141|gene4337|Level=1	18.619	23.069	21.926	16.903	17.195	19.155	27.641	15.166	17.834
grk5|rna36088|gene16445|Level=1	1.182	1.375	0.438	2.278	1.310	1.380	2.723	5.881	4.463
grk6|rna5417|gene1652|Level=1	13.234	13.584	15.729	13.398	17.988	14.269	15.225	23.412	12.062
grk7|rna14354|gene4412|Level=1	0.085	0.127	0.068	0.021	0.154	0.018	0.498	1.031	0.093
grm3|rna51243|gene26040|Level=1	0.395	0.390	0.196	0.202	0.093	0.053	0.185	0.434	0.372
grm7|rna52192|gene26643|Level=1	0.338	0.232	0.394	0.159	0.471	0.222	0.278	0.050	0.047
grm8|rna59943|gene31548|Level=1	0.449	0.404	0.449	0.299	0.568	0.514	0.589	0.571	0.363
grn|rna11736|gene3572|Level=1	41.121	77.078	58.263	73.246	104.766	89.320	170.155	122.550	217.861
grp5l|rna63276|gene33583|Level=1	18.642	25.731	29.925	12.856	39.027	18.861	5.234	3.233	4.175
grpel1|rna25992|gene8047|Level=1	53.934	30.186	32.138	29.446	34.346	42.640	39.805	23.755	41.111
grpel2|rna54895|gene28339|Level=1	14.220	17.402	10.345	12.172	11.166	10.404	18.156	13.439	10.532
grp|rna62453|gene33054|Level=1	0.084	0.314	0.000	0.073	0.268	0.256	0.320	0.332	0.324
grsf1|rna22321|gene6923|Level=1	59.647	61.168	59.440	45.172	61.168	63.184	61.263	46.416	49.278
grtp1|rna22991|gene7128|Level=1	16.680	17.891	12.098	11.595	13.092	8.872	10.733	6.147	8.486
grwd1|rna22486|gene6977|Level=1	11.203	7.055	7.398	9.161	16.128	25.183	20.084	14.166	17.757
grxcr1|rna12582|gene3856|Level=1	0.000	0.000	0.185	0.000	0.077	0.100	0.100	0.337	0.338
grxcr2|rna61574|gene32542|Level=1	0.066	0.039	0.148	0.069	0.757	1.620	0.140	1.927	1.385
gs17|rna3859|gene1205|Level=1	0.243	0.000	0.065	0.241	0.174	0.368	0.263	0.136	0.178
gsap|rna44600|gene21870|Level=1	4.344	8.197	5.905	4.615	6.284	4.550	6.085	9.216	6.255
gsdme|rna37755|gene17550|Level=1	2.869	3.013	2.685	2.242	5.208	5.245	6.376	6.636	5.120
gse1|rna42028|gene20298|Level=1	9.725	8.607	6.530	6.979	7.283	9.129	9.111	10.468	6.462
gsg1l2|rna43188|gene21033|Level=1	1.010	0.713	0.597	0.646	0.906	0.968	0.404	0.084	0.000
gsg1l|rna27504|gene8500|Level=1	0.375	0.107	0.602	0.155	0.508	0.461	0.054	0.380	0.596
gsk3a|rna7751|gene2343|Level=1	33.343	29.301	27.513	23.639	32.942	32.538	32.458	28.052	25.658
gsk3b|rna47486|gene23734|Level=1	17.549	16.369	12.918	11.741	17.446	15.963	16.636	19.361	15.025
gskip|rna22557|gene6995|Level=1	8.808	10.722	8.153	10.832	11.466	12.152	14.914	11.371	10.586
gsn|rna10416|gene3179|Level=1	41.699	70.893	47.240	64.938	80.510	87.702	129.570	217.981	199.855
gsn|rna35990|gene16390|Level=2	30.080	43.324	31.762	40.188	62.363	58.551	99.432	164.243	117.367
gspt1|rna26202|gene8115|Level=1	48.420	37.589	41.209	39.734	59.521	65.550	65.402	43.627	49.345
gsr|rna12555|gene3848|Level=1	15.824	32.934	21.703	21.751	30.281	20.285	25.278	28.617	33.504
gss|rna8827|gene2665|Level=1	16.775	19.838	14.191	13.506	19.604	22.014	19.880	20.602	35.952
gsta4|rna9671|gene2952|Level=1	1.807	1.576	1.149	1.539	1.116	0.466	0.570	0.643	0.000
gstcd|rna15953|gene4903|Level=1	2.139	1.575	1.952	1.905	1.710	2.714	2.634	2.694	2.361
gstk1|rna22922|gene7106|Level=2	15.599	17.981	15.858	14.403	13.344	14.155	9.332	9.516	11.381
gstk1|rna61692|gene32627|Level=1	58.558	56.917	54.807	64.488	58.168	59.146	43.894	36.725	39.002
gstm1|rna36212|gene16529|Level=1	55.410	111.898	94.251	100.631	89.750	97.781	130.042	186.899	145.471
gsto1|rna13436|gene4117|Level=2	0.121	0.241	0.000	0.140	0.013	0.000	0.000	0.444	0.518
gsto1|rna15714|gene4821|Level=1	25.379	31.235	25.421	18.773	27.410	17.553	24.488	75.928	49.452
gsto2|rna58536|gene30614|Level=1	210.684	259.919	186.853	148.588	124.901	120.424	131.662	140.437	193.885
gstp1|rna36973|gene17035|Level=1	215.075	2688.780	1572.480	476.373	704.037	427.668	592.752	635.003	1636.810
gstp1|rna39433|gene18640|Level=2	1.452	2.381	1.993	0.925	2.199	0.882	1.544	1.522	7.322
gstp1|rna61387|gene32428|Level=2	0.536	1.066	0.502	1.009	0.478	1.153	0.340	0.246	3.897
gstt1-like.2|rna11922|gene3622|Level=1	15.200	21.613	17.476	21.154	10.923	11.616	14.137	19.032	13.951
gstt1|gene20995|gene20995|Level=2	0.512	0.000	0.639	0.000	0.029	0.000	0.000	0.134	0.000
gstt1|rna17382|gene5364|Level=1	66.990	101.560	99.555	115.119	75.548	89.483	62.715	111.350	183.207
gstz1|rna48535|gene24374|Level=1	17.499	15.402	16.800	25.928	23.854	21.296	21.247	17.376	21.283
gtdc1|rna23242|gene7196|Level=1	2.246	1.142	1.021	0.947	0.893	1.261	1.322	2.317	1.631
gtf2a1l|rna42860|gene20818|Level=1	1.704	0.971	1.183	0.233	0.729	0.698	0.233	0.045	0.393
gtf2a1|rna17686|gene5457|Level=1	21.764	21.427	17.459	16.886	21.348	19.246	21.610	18.365	15.098
gtf2a2|rna3682|gene1147|Level=1	33.928	32.500	29.129	26.041	30.419	38.265	42.784	32.066	34.457
gtf2b|rna12050|gene3674|Level=1	33.535	35.806	32.767	32.392	40.610	37.007	35.644	31.455	27.408
gtf2e1.2|rna10393|gene3176|Level=1	0.291	0.567	0.343	0.849	0.589	0.168	0.537	0.382	0.164
gtf2e1|rna62566|gene33139|Level=1	10.136	9.023	7.761	9.002	12.033	12.151	10.587	9.865	8.408
gtf2e2|rna5064|gene1550|Level=1	32.649	32.862	28.299	28.287	31.932	34.344	39.044	32.711	32.778
gtf2f1|rna25770|gene7985|Level=1	37.137	35.425	29.757	29.524	33.204	47.548	47.392	39.372	35.332
gtf2f2|rna60523|gene31924|Level=1	30.274	25.737	23.070	18.972	19.974	30.750	34.833	25.962	20.236
gtf2h1|rna39581|gene18744|Level=1	38.124	36.648	42.258	34.453	41.709	41.968	39.746	30.008	28.804
gtf2h2|rna13306|gene4074|Level=1	10.431	12.361	8.752	9.113	8.545	10.941	11.725	11.548	10.290
gtf2h3|rna8773|gene2643|Level=1	13.199	12.722	11.946	12.321	15.278	13.733	16.070	13.861	12.411
gtf2h4|rna41950|gene20253|Level=2	29.669	22.034	21.993	19.663	18.608	22.333	28.368	25.532	15.462
gtf2h4|rna55039|gene28426|Level=1	8.025	15.875	14.614	8.034	13.345	18.824	3.340	2.879	13.801
gtf2h5|rna44982|gene22127|Level=1	50.752	37.531	43.197	44.292	46.760	53.317	53.238	42.929	50.178
gtf2ird1|rna54190|gene27908|Level=1	3.552	3.731	2.020	2.812	3.577	3.575	4.801	6.743	4.303
gtf2ird2b|gene19459|gene19459|Level=2	0.331	0.689	0.617	0.479	0.570	0.327	1.046	0.503	0.322
gtf2ird2b|rna53672|gene27578|Level=2	0.252	0.490	0.255	0.317	0.473	0.426	0.453	0.196	0.000
gtf2ird2|rna44206|gene21636|Level=2	2.007	1.514	1.752	2.260	2.646	2.566	3.436	2.564	2.279
gtf2ird2|rna53063|gene27210|Level=2	0.644	1.474	0.421	0.546	0.611	0.387	1.457	1.213	0.461
gtf2ird2|rna55049|gene28433|Level=2	0.000	0.127	0.000	0.224	0.215	0.176	0.184	0.113	0.000
gtf2i|rna63503|gene33712|Level=1	9.713	10.271	9.051	8.544	8.721	10.508	11.731	14.725	8.541
gtf3a|rna52556|gene26892|Level=1	20.017	17.712	15.014	14.675	18.426	19.189	17.506	15.944	16.054
gtf3c1|rna40745|gene19518|Level=1	4.005	4.666	5.197	5.325	6.054	5.065	6.501	9.299	6.003
gtf3c2|rna48778|gene24508|Level=1	9.640	7.855	7.599	6.517	8.619	10.069	9.808	10.267	8.661
gtf3c3|rna59642|gene31358|Level=1	4.232	3.976	4.264	5.006	5.649	5.327	5.824	5.882	5.399
gtf3c4|rna37794|gene17583|Level=1	7.267	5.300	3.889	5.857	7.872	7.844	7.868	10.052	6.756
gtf3c5|rna48609|gene24411|Level=1	13.935	13.647	11.259	13.929	13.775	11.724	16.621	21.024	15.782
gtf3c6|rna19403|gene6013|Level=1	5.916	8.853	9.686	8.395	7.612	7.490	9.204	8.704	6.687
gtpbp10|rna7184|gene2181|Level=1	8.394	7.130	5.816	7.446	6.619	9.106	8.711	6.543	8.617
gtpbp1|rna45610|gene22559|Level=1	27.314	27.400	25.736	24.615	19.541	22.995	22.529	21.395	19.642
gtpbp2|rna52203|gene26654|Level=1	21.057	55.413	30.556	20.050	30.342	18.095	17.786	49.370	21.519
gtpbp2|rna52794|gene27041|Level=1	25.533	21.263	13.035	25.917	19.167	29.703	22.676	18.511	10.205
gtpbp3|rna35150|gene15866|Level=1	6.916	6.481	4.788	4.119	5.974	7.937	6.944	6.551	6.528
gtpbp4|rna19583|gene6069|Level=1	100.315	102.200	83.430	111.354	107.496	112.937	131.391	192.254	178.302
gtpbp6|rna37777|gene17572|Level=1	2.856	4.131	3.961	4.064	4.191	3.657	5.386	6.439	7.193
gtpbp8|rna48127|gene24124|Level=1	6.562	3.978	3.695	4.679	4.037	7.168	7.174	4.907	5.336
gtse1|rna23044|gene7142|Level=1	25.555	26.831	21.779	19.143	26.445	23.847	23.790	17.536	10.870
gtsf2|rna51273|gene26055|Level=1	15.107	6.739	7.613	4.093	4.152	10.831	9.320	7.462	5.629
guca1al|rna57038|gene29675|Level=1	0.344	0.720	0.799	0.371	0.341	0.338	0.353	0.358	0.405
guca1bl|rna6923|gene2106|Level=1	0.148	2.253	1.442	1.441	0.663	0.045	0.405	1.118	0.912
guca1b|rna58598|gene30652|Level=1	0.398	0.939	1.058	0.424	0.463	1.131	0.507	0.384	0.659
gucd1|rna18140|gene5595|Level=1	40.540	51.454	40.578	39.359	50.050	37.393	48.945	45.098	45.111
gucy1a1|rna54495|gene28103|Level=1	0.497	0.365	3.480	1.204	2.640	0.805	0.669	0.410	0.732
gucy1b1|rna18296|gene5637|Level=1	0.255	0.351	1.615	1.022	2.333	0.759	0.849	0.678	0.679
gucy1b2|rna36555|gene16744|Level=2	0.000	0.471	0.121	0.792	0.299	0.001	0.000	0.698	0.426
gucy2d|rna51482|gene26189|Level=1	0.134	0.145	0.290	0.334	0.211	0.192	0.199	0.181	0.169
guf1|rna522|gene176|Level=1	8.697	6.531	7.683	10.997	8.215	8.739	10.439	12.947	10.975
guk1|rna44211|gene21639|Level=1	24.318	23.240	20.014	20.137	24.449	21.086	23.909	28.174	22.576
gulo|rna62348|gene33016|Level=2	0.067	0.100	0.000	0.000	0.306	0.304	0.203	0.317	0.171
gulp1|rna45070|gene22187|Level=1	1.733	1.175	1.812	1.231	1.377	0.940	1.300	1.283	1.789
gusb|rna21889|gene6776|Level=1	40.999	54.125	41.136	45.849	63.966	42.037	59.366	73.019	49.834
gxylt1|rna16140|gene4961|Level=1	28.241	33.931	28.524	31.509	34.042	27.827	37.702	33.051	24.608
gxylt2|rna7638|gene2315|Level=1	6.006	4.883	5.181	5.027	4.521	4.367	5.251	5.818	4.964
gyg1|rna63356|gene33632|Level=1	77.228	39.700	45.116	63.980	58.779	82.113	108.515	62.949	103.641
gyg2|rna22708|gene7041|Level=1	10.577	7.926	12.204	10.555	12.455	5.810	4.308	4.207	5.589
gypc|rna57988|gene30284|Level=1	37.152	17.720	26.091	59.041	29.048	26.795	21.486	16.557	23.017
gys1|rna2809|gene876|Level=1	54.556	10.858	20.435	18.782	26.310	13.935	10.994	14.301	44.754
gzf1|rna8445|gene2543|Level=1	6.318	6.363	4.526	5.793	7.566	6.696	8.814	8.940	6.806
gzmak|rna37820|gene17600|Level=1	2.119	0.856	0.947	0.760	0.694	0.913	1.101	2.322	1.789
gzma|rna12076|gene3685|Level=2	0.024	0.000	0.134	0.000	0.000	0.036	0.145	0.544	0.122
gzma|rna51125|gene25947|Level=1	0.135	0.404	0.652	0.874	0.957	4.730	3.676	4.412	6.352
gzmh|rna49533|gene24950|Level=1	1.289	4.711	4.435	12.345	6.666	4.165	4.927	5.818	8.955
h1-0|rna25236|gene7820|Level=1	34.155	31.219	41.749	15.960	19.804	24.462	20.553	18.529	17.519
h1-10|rna23261|gene7202|Level=1	41.523	71.836	41.113	49.053	32.200	29.299	36.145	60.708	36.069
h2-dmb1|rna43690|gene21346|Level=2	0.000	0.000	0.000	1.332	2.090	0.000	0.120	0.000	0.000
h2ac11|rna13204|gene4041|Level=2	1.020	0.000	0.005	0.010	2.606	0.000	1.406	1.536	0.000
h2ac11|rna21962|gene6802|Level=2	3.461	3.970	0.000	1.100	1.155	0.449	1.168	3.883	2.216
h2ac11|rna35912|gene16339|Level=2	0.415	0.835	0.973	0.426	0.074	0.607	0.270	0.000	0.000
h2ac11|rna36382|gene16635|Level=2	0.031	0.134	0.000	0.102	0.171	0.045	0.304	0.322	0.234
h2ac11|rna36546|gene16736|Level=2	0.401	0.745	1.750	0.000	0.828	0.277	0.685	0.138	0.000
h2ac11|rna37070|gene17100|Level=2	1.268	2.583	1.979	0.753	1.113	1.370	1.075	0.910	1.710
h2ac11|rna42292|gene20470|Level=2	0.986	0.533	0.502	0.000	0.338	0.000	0.000	0.173	0.000
h2ac11|rna42721|gene20730|Level=2	0.553	0.773	3.431	0.000	0.604	0.000	0.318	0.646	0.000
h2ac11|rna43520|gene21238|Level=2	0.382	0.475	0.724	0.312	0.298	0.000	0.199	0.836	0.104
h2ac11|rna43808|gene21421|Level=2	0.000	0.000	0.000	0.000	0.655	0.000	1.928	2.410	0.000
h2ac11|rna44590|gene21864|Level=2	0.911	1.469	0.000	0.000	1.080	0.000	1.838	1.135	0.402
h2ac11|rna45958|gene22792|Level=2	1.143	3.080	0.000	0.000	0.996	1.307	0.000	0.173	0.000
h2ac11|rna48857|gene24557|Level=2	1.584	0.934	3.183	0.000	0.706	0.566	1.204	1.246	0.000
h2ac11|rna48895|gene24581|Level=2	4.219	1.362	2.448	0.000	2.395	2.195	0.000	1.601	0.402
h2ac11|rna49600|gene24976|Level=2	1.103	1.378	0.084	1.260	1.157	0.669	0.482	0.977	0.848
h2ac11|rna49611|gene24985|Level=2	0.000	3.829	0.895	0.000	0.000	0.009	0.000	0.000	0.001
h2ac11|rna49747|gene25089|Level=2	0.921	3.754	1.343	1.009	1.519	1.674	2.197	1.681	1.363
h2ac11|rna49974|gene25233|Level=2	0.000	0.000	2.732	0.721	0.378	0.685	0.000	0.278	0.000
h2ac11|rna50445|gene25536|Level=2	0.000	0.786	1.906	0.000	0.084	0.801	0.000	0.000	0.000
h2ac11|rna51089|gene25926|Level=2	0.000	0.009	0.000	0.000	0.000	1.986	0.000	0.000	0.602
